        name    code
0      CJ오쇼핑  035760
1      CMG제약  058820
2  IBKS제8호스팩  277410
3        KTH  036030
4  SBI인베스트먼트  019550
시너지이노베이션 2 55508469
신라섬유 1 24277540
신스타임즈 -76 14016600
신화콘텍 -134 10143845
심텍홀딩스 20 34895833
쎄노텍 1 39183915
씨씨에스 41319 85564335
씨앤지하이테크 -32924 4202740
씨케이에이치 -490252 110404457
아나패스 -84749 10127700
아우딘퓨쳐스 239491 10000000
아이쓰리시스템 -10737 7106760
아이에스이커머스 0 25514093
알파홀딩스 -6735 13144440
양지사 0 15980000
에스엠 742396 22778801
에스트래픽 83424 11921180
에이앤티앤 0 13389035
에이티넘인베스트 -116235 48000000
에이티세미콘 767 64643777
에프엔씨엔터 -116482 14364880
엑세스바이오 97752 27064930
엔지스테크널러지 -5100 3127180
엘디티 2553 6678400
엠케이전자 -8457 21807689
영우디에스피 0 12184466
오상자이엘 0 17747882
오텍 -67475 15391605
와이엠씨 114212 9865093
와이지-원 -871128 30506398
우리산업홀딩스 -86158 18887341
원익IPS -373240 41273436
원익QnC 373330 26288000
웹젠 -687753 35310884
위너지스 0 89900189
윈팩 -10 34091218
유니테스트 540178 21134126
유비쿼스 42651 5123955
유앤아이 9531 7707642
이그잭스 -322761 49808918
이더블유케이 2000 7380944
이루온 4815 15275020
이에스에이 0 15537697
이엘케이 12191 66014510
이트론 1868 181355876
인바디 25308 13683782
인베니아 2834 23200000
인탑스 -170644 17200000
인터파크홀딩스 115215 58500000
인프라웨어 -17810 37463160
일신바이오 -176692 44216140
제룡전기 1804 16062409
제이씨케미칼 0 19343000
제이엔케이히터 -290392 16505372
제이웨이 -248526 15064210
중앙오션 0 22882712
지니언스 0 4854900
카페24 -155033 8858157
케이씨피드 -2528 16715858
케이프 -299618 25528573
켐온 -197513 63861340
코엔텍 146758 50000000
코오롱생명과학 -51431 11412356
크리스탈신소재 22 67783852
클리오 -124051 16958895
특수건설 3762 9994814
티씨케이 178839 11675000
티에스이 -2500 11061429
